name,price,quantity,unit,threshold,expiryDate,sku,category
Coca Cola 500ml,60,120,bottle,30,2026-12-31,CC-500,Beverages
Red Bull 250ml,110,0,can,10,2026-12-31,RB-250,Beverages
Maggi Noodles,14,5,pack,10,2026-12-31,MG-70,Grocery
Parle-G,10,50,pack,5,2023-01-01,PG-84,Snacks
Amul Butter 100g,55,8,pack,10,2026-05-01,AB-100,Dairy
Colgate 100g,55,70,tube,15,2027-01-01,CG-100,Personal Care
Basmati Rice 1kg,95,90,bag,20,2026-07-01,BR-1K,Grocery
Kit Kat 4 Finger,30,80,bar,15,2026-09-01,KK-4F,Snacks
Dettol Handwash,99,2,bottle,5,2026-10-01,DH-200,Personal Care
Dairy Milk,40,0,bar,5,2026-08-01,DM-40,Snacks
Toor Dal 1kg,120,200,bag,30,2026-06-01,TD-1K,Grocery
Shampoo 200ml,180,3,bottle,3,2026-11-01,SH-200,Personal Care
Bread Loaf,35,15,pack,5,2022-12-01,BL-500,Bakery
Eggs Tray 30,180,30,tray,6,2026-11-01,EG-30,Dairy
Olive Oil 1L,550,12,bottle,12,2026-10-15,OO-1L,Grocery
Sugar 1kg,45,0,bag,0,2026-04-01,SG-1K,Grocery

